time,x,y,z,vx,vy,vz,ex,ey,ez
2.4099999999999926,5.354942221418897,6.0114570894228745,2.1419768885675587,-0.5121634630518691,-0.5245103735815132,-0.20486538522074646,-0.36518549067993433,-1.0219472968945045,-0.14607419627197338
2.4199999999999924,5.344797334876654,6.00087324897385,2.1379189339506617,-0.5072443271121151,-0.5291920224512263,-0.20289773084484522,-0.35494222141889686,-1.0114570894228745,-0.14197688856755875
2.429999999999992,5.334751906864794,5.990200823359114,2.1339007627459177,-0.5022714005930222,-0.5336212807368095,-0.20090856023720807,-0.3447973348766542,-1.0008732489738499,-0.13791893395066168
2.439999999999992,5.3248069618411105,5.979444786009665,2.1299227847364444,-0.49724725118413365,-0.5378018674724603,-0.19889890047365283,-0.3347519068647937,-0.990200823359114,-0.13390076274591767
2.4499999999999917,5.31496347362935,5.968610035971402,2.12598538945174,-0.49217441058806705,-0.5417375019131566,-0.1968697642352262,-0.32480696184111046,-0.9794447860096653,-0.12992278473644436
2.4599999999999915,5.305222366139734,5.957701397923113,2.122088946455894,-0.48705537448074643,-0.5454319024144642,-0.19482214979229814,-0.3149634736293496,-0.9686100359714018,-0.1259853894517402
2.4699999999999913,5.29558451409007,5.946723622216412,2.118233805636028,-0.481892602483227,-0.5488887853350223,-0.1927570409932902,-0.3052223661397342,-0.9577013979231133,-0.12208894645589385
2.479999999999991,5.286050743727172,5.9356813849371814,2.1144202974908692,-0.4766885181449138,-0.5521118639615673,-0.1906754072579649,-0.2955845140900699,-0.9467236222164122,-0.11823380563602814
2.489999999999991,5.276621833548413,5.924579287988054,2.1106487334193655,-0.47144550893792325,-0.5551048474563943,-0.18857820357516902,-0.28605074372717176,-0.9356813849371814,-0.11442029749086924
2.4999999999999907,5.267298515023166,5.913421859191512,2.1069194060092666,-0.4661659262623907,-0.557871439827088,-0.18646637050495582,-0.27662183354841297,-0.9245792879880543,-0.11064873341936554
2.5099999999999905,5.258081473313917,5.902213552413144,2.1032325893255663,-0.4608520854624909,-0.5604153389184185,-0.18434083418499592,-0.2672985150231657,-0.9134218591915122,-0.10691940600926664
2.5199999999999902,5.248971347996857,5.8909587477046195,2.0995885391987423,-0.4555062658529507,-0.5627402354262477,-0.1822025063411791,-0.25808147331391673,-0.9022135524131443,-0.10323258932556634
2.52999999999999,5.23996873378174,5.879661751465953,2.0959874935126956,-0.450130710755844,-0.5648498119332922,-0.18005228430233622,-0.24897134799685716,-0.8909587477046195,-0.09958853919874233
2.53999999999999,5.231074181230792,5.86832679662662,2.092429672492316,-0.4447276275474534,-0.566747741966615,-0.17789105101897995,-0.23996873378174044,-0.879661751465953,-0.09598749351269564
2.5499999999999896,5.222288197476493,5.856958042845086,2.088915278990596,-0.4392991877149665,-0.5684376890766817,-0.1757196750859852,-0.2310741812307917,-0.8683267966266204,-0.09242967249231615
2.5599999999999894,5.2136112469380365,5.84555957672633,2.085444498775214,-0.433847526922815,-0.5699233059378238,-0.17353901076912404,-0.22228819747649275,-0.8569580428450863,-0.08891527899059604
2.569999999999989,5.205043752036268,5.834135412056931,2.0820175008145068,-0.4283747450884292,-0.571208233469963,-0.17134989803537007,-0.21361124693803646,-0.8455595767263304,-0.08544449877521387
2.579999999999989,5.196586093906923,5.822689490057302,2.078634437562769,-0.42288290646720456,-0.5722960999814172,-0.16915316258688057,-0.2050437520362678,-0.8341354120569306,-0.08201750081450676
2.5899999999999888,5.188238613111993,5.811225679650649,2.075295445244797,-0.41737403974646364,-0.573190520332648,-0.16694961589858456,-0.19658609390692305,-0.8226894900573019,-0.07863443756276922
2.5999999999999885,5.180001610349029,5.799747777748234,2.072000644139611,-0.4118501381482138,-0.5738950951207548,-0.16474005525928445,-0.1882386131119933,-0.811225679650649,-0.07529544524479714
2.6099999999999883,5.171875347158219,5.788259509550542,2.0687501388632876,-0.4063131595404849,-0.5744134098845631,-0.16252526381619253,-0.18000161034902895,-0.7997477777482338,-0.07200064413961105
2.619999999999988,5.163860046627077,5.776764528863939,2.065544018650831,-0.4007650265570479,-0.5747490343301297,-0.16030601062281843,-0.17187534715821862,-0.7882595095505422,-0.06875013886328762
2.629999999999988,5.155955894092571,5.765266418432409,2.062382357637029,-0.3952076267253124,-0.5749055215764859,-0.15808305069012443,-0.16386004662707698,-0.7767645288639393,-0.06554401865083115
2.6399999999999877,5.148163037840527,5.75376869028398,2.059265215136211,-0.38964281260219513,-0.5748864074214419,-0.15585712504087754,-0.15595589409257116,-0.7652664184324092,-0.06238235763702882
2.6499999999999875,5.140481589802173,5.742274786091436,2.056192635920869,-0.3840724019177593,-0.5746952096272726,-0.15362896076710286,-0.14816303784052742,-0.7537686902839802,-0.05926521513621097
2.6599999999999873,5.132911626247644,5.730788077546913,2.053164650499058,-0.37849817772643723,-0.5743354272260995,-0.15139927109057402,-0.14048158980217273,-0.7422747860914356,-0.056192635920869094
2.669999999999987,5.125453188476332,5.719311866750017,2.050181275390533,-0.37292188856562314,-0.5738105398447809,-0.14916875542624874,-0.13291162624764397,-0.7307880775469133,-0.05316465049905794
2.679999999999987,5.118106283503902,5.707849386609034,2.047242513401561,-0.36734524862145584,-0.5731240070491348,-0.14693809944858166,-0.1254531884763317,-0.7193118667500169,-0.05018127539053285
2.6899999999999866,5.11087088474587,5.696403801254888,2.0443483538983482,-0.36176993790158485,-0.5722792677072874,-0.14470797516063327,-0.11810628350390218,-0.7078493866090341,-0.04724251340156105
2.6999999999999864,5.103746932697575,5.684978206467449,2.04149877307903,-0.3561976024147404,-0.571279739371965,-0.1424790409658957,-0.1108708847458697,-0.6964038012548883,-0.044348353898348236
