time,position,velocity,error,command
2.93,20.630163222148653,1.5778933232423302,-11.012571220497193,-10.635359363109501
2.94,20.64521267691633,1.504945476767725,-10.396679907863625,-7.294784647460514
2.95,20.65912788024481,1.3915203328479087,-10.556299388191139,-11.34251439198163
2.96,20.672007504941377,1.287962469656689,-10.523107091805489,-10.355786319121966
2.97,20.68401625362007,1.2008748678692849,-10.219239281540265,-8.708760178740413
2.98,20.69481348127697,1.0797227656902144,-10.532002445772722,-12.115210217907048
2.99,20.70463776451023,0.9824283233261808,-10.393278539292606,-9.729444236403356
3.0,20.71353114878497,0.8893384274738846,-10.205898525609285,-9.308989585229625
3.0100000000000002,20.721300696704404,0.7769547919433252,-10.369582578414501,-11.238363553055938
3.02,20.727702723867793,0.6402027163387725,-10.910308238945579,-13.675207560455267
3.0300000000000002,20.733127836142053,0.54251122742601,-10.708118491443066,-9.769148891276252
3.04,20.737180281408598,0.4052445266543849,-11.197347674892868,-13.726670077162511
3.0500000000000003,20.74121687428301,0.40365928744103596,-9.342123947805131,-0.15852392133489346
3.06,20.742868207550362,0.1651333267354482,-11.743159006934842,-23.852596070558775
3.0700000000000003,20.74413401806092,0.12658105105579331,-10.4093919071262,-3.855227567965489
3.08,20.74419461666901,0.006059860809075543,-10.66229085159478,-12.052119024671777
3.09,20.743215766635906,-0.09788500331047768,-10.595002036193154,-10.394486411955322
3.1,20.74101214648274,-0.22036201531686112,-10.845989489890655,-12.247701200638344
3.11,20.737943797715204,-0.30683487675346943,-10.453334302758527,-8.647286143660828
3.12,20.73404316146435,-0.3900636250854858,-10.070374699288674,-8.322874833201638
3.13,20.72832346373364,-0.5719697730706855,-11.393966029611917,-18.190614798519974
3.14,20.72181243234759,-0.6511031386050392,-10.782282050358791,-7.913336553435363
3.15,20.714411299601263,-0.7401132746327425,-10.435419006036007,-8.901013602770321
3.16,20.706604955033672,-0.7806344567589623,-9.336661127221092,-4.052118212621975
3.17,20.69670747841652,-0.989747661715066,-11.229025104522641,-20.91132049561037
3.18,20.68559075695544,-1.1116721461081471,-11.350957916570795,-12.192448439308118
3.19,20.673858411111045,-1.1732345844394039,-10.444793693298301,-6.15624383312568
3.2,20.660848684215665,-1.300972689537925,-10.79078615566635,-12.773810509852108
3.21,20.64693818834927,-1.3910495866394292,-10.449684793557182,-9.007689710150418
3.22,20.631340585062524,-1.5597603286748134,-11.474085393132022,-16.871074203538427
3.23,20.614971113588584,-1.6369471473941741,-10.800553745219794,-7.718681871936081
3.24,20.59732099335465,-1.7650120233935516,-11.085397427055373,-12.806487599937746
3.25,20.579000909270206,-1.8320084084444495,-10.303241772481616,-6.699638505089796
3.2600000000000002,20.559539805718494,-1.9461103551713113,-10.434798955110367,-11.41019467268619
3.27,20.539214494587306,-2.0325311131187696,-10.081396561550676,-8.642075794745846
3.2800000000000002,20.517392441072648,-2.1822053514656554,-10.839312688126704,-14.967423834688592
3.29,20.49520436505605,-2.218807601659583,-9.584778861247216,-3.660225019392774
3.3000000000000003,20.47148291560089,-2.3721449455159216,-10.483171704603723,-15.333734385633862
3.31,20.44716534965984,-2.4317565941050714,-9.668126131925675,-5.961164858914959
3.3200000000000003,20.421493811098408,-2.567153856143383,-10.250306661069821,-13.53972620383115
3.33,20.394176436271547,-2.731737482686074,-11.220026506011934,-16.458362654269102
3.34,20.36613654465849,-2.8039891613054686,-10.487512659298869,-7.22516786193945
3.35,20.337107083986975,-2.902946067151671,-10.32045149890163,-9.895690584620244
3.36,20.306866699365578,-3.0240384621397647,-10.548400617499205,-12.109239498809387
3.37,20.275454844455194,-3.1411854910383883,-10.670823644231977,-11.714702889862377
3.38,20.242922992031637,-3.253185242355616,-10.685273994486938,-11.19997513172277
3.39,20.20925259221282,-3.3670399818815877,-10.726444682398078,-11.385473952597206
3.4,20.17441040662405,-3.4842185588768824,-10.81434848873128,-11.717857699529446
3.41,20.139273159614234,-3.5137247009818675,-9.424823608569032,-2.9506142104985145
3.42,20.102456567363145,-3.681659225109033,-10.572263864826024,-16.793452412716533
3.43,20.064691665402275,-3.7764901960870505,-10.308353466976559,-9.483097097801764
3.44,20.025762455643886,-3.8929209758389836,-10.446683834361536,-11.643077975193313
3.45,19.98598576939035,-3.9776686253536333,-10.032234930739172,-8.474764951464977
3.46,19.94502208473838,-4.09636846519702,-10.251022179502893,-11.869983984338631
3.47,19.902681990763423,-4.234009397495691,-10.74723855463498,-13.764093229867175
3.48,19.859191563331052,-4.349042743237167,-10.78216206428107,-11.503334574147576
3.49,19.81463660842714,-4.455495490391068,-10.666477266315525,-10.645274715390158
3.5,19.76976308853475,-4.4873519892391265,-9.325248254871035,-3.1856498848058195
3.5100000000000002,19.723570034715276,-4.619305381947193,-9.874193277454516,-13.195339270806613
3.52,19.67632484478427,-4.724518993100883,-9.884337047526568,-10.521361115369041
3.5300000000000002,19.628046028958163,-4.827881582610377,-9.860296445775706,-10.336258950949388
3.54,19.579069339172083,-4.897668978608156,-9.27912953086625,-6.978739599777825
3.5500000000000003,19.528868360735466,-5.020097843661814,-9.670569824402303,-12.24288650536583
3.56,19.47756531381585,-5.13030469196141,-9.791437883467388,-11.02068482995954
3.5700000000000003,19.424983492117068,-5.2581821698782685,-10.18497426393203,-12.7877477916859
3.58,19.371800105843946,-5.318338627312375,-9.38267379397437,-6.015645743410698
3.59,19.317773900256046,-5.402620558789828,-9.114662192699978,-8.428193147745354
3.6,19.262537941645043,-5.523595861100508,-9.501291823554489,-12.097530231067932
3.61,19.206275215204972,-5.626272644006978,-9.516921705578827,-10.267678290646987
3.62,19.148875455233398,-5.739975997157352,-9.712104093981853,-11.370335315037433
3.63,19.090838681169906,-5.803677406349023,-9.039883704388604,-6.370140919167193
3.64,19.032166990618713,-5.8671690551193905,-8.474791574110139,-6.34916487703676
3.65,18.97148773982973,-6.067925078898181,-10.289906064674355,-20.075602377879058
3.66,18.909885495342643,-6.160224448708567,-9.993225036498373,-9.229936981038584
3.67,18.847328896468817,-6.255659887382478,-9.796625889762197,-9.543543867391199
3.68,18.78444337114126,-6.288552532755484,-8.588981882153252,-3.2892645373005642
3.69,18.72089445370972,-6.354891743153911,-8.138698176540064,-6.633921039842699
3.7,18.656210145218445,-6.468430849127771,-8.548701897803333,-11.353910597386058
3.71,18.590333701417656,-6.587644380078763,-8.983448173779284,-11.921353095099192
3.72,18.524079055675287,-6.625464574237013,-7.987849815577608,-3.7820194158249656
3.73,18.456316056983255,-6.7762998692033865,-9.04026282007494,-15.083529496637409
3.74,18.387823250031282,-6.849280695197193,-8.618262797147079,-7.298082599380731
3.75,18.318502083697094,-6.932116633418818,-8.429443074658362,-8.283593822162395
3.7600000000000002,18.248098139035527,-7.040394466156778,-8.694675768561943,-10.827783273796026
3.77,18.176257437392536,-7.184070164298994,-9.504083422982024,-14.36756981422159
3.7800000000000002,18.1040086781382,-7.224875925433723,-8.46268040480652,-4.080576113472963
3.79,18.030900940343752,-7.310773779444915,-8.344988606166943,-8.589785401119194
3.8000000000000003,17.957472249507934,-7.342869083581897,-7.348978113044968,-3.2095304136982694
3.81,17.88269657780327,-7.477567170466363,-8.227644473822405,-13.469808688446593
3.8200000000000003,17.807193189460943,-7.550338834232553,-7.9264383161129786,-7.277166376618959
3.83,17.730537980788593,-7.665520867235062,-8.380875859317229,-11.51820330025091
3.84,17.652984794941613,-7.755318584698082,-8.335112700879126,-8.979771746301923
3.85,17.57534176792885,-7.764302701276205,-6.948925233226898,-0.8984116578122974
3.86,17.49658141587743,-7.87603520514206,-7.504991299762278,-11.173250386585474
3.87,17.416651558251147,-7.992985762628186,-8.054004914727177,-11.695055748612699
3.88,17.33574293560488,-8.090862264626676,-8.19224996074384,-9.78765019984893
3.89,17.25442234094225,-8.132059466263309,-7.361572231021608,-4.119720163663237
3.9,17.1727097270136,-8.171261392864942,-6.63498037560716,-3.9201926601633206
3.91,17.08993320233835,-8.27765246752487,-7.148114944575944,-10.63910746599284
3.92,17.006321880854255,-8.361132148409403,-7.192671743836048,-8.347968088453376
3.93,16.92199493337289,-8.43269474813651,-7.030012721808724,-7.156259972710726
3.94,16.83766070495564,-8.433422841725053,-5.712936278430115,-0.07280935885412188
3.95,16.751715216666557,-8.594548828907948,-7.287456226149498,-16.11259871828961
3.96,16.66539278531156,-8.632243135499671,-6.541271294180397,-3.769430659172275
3.97,16.57840381948118,-8.6988965830378,-6.401036027308365,-6.6653447538128905
3.98,16.490760952901397,-8.764286657978587,-6.262073416056619,-6.539007494078637
3.99,16.402406096282867,-8.835485661852976,-6.242046381176674,-7.1199003874388715
4.0,16.31372340543321,-8.868269084965716,-5.58416681161396,-3.2783423112739225
4.01,16.223615994785696,-9.010741064751056,-6.862932626084017,-14.247197978533926
4.0200000000000005,16.132336341712293,-9.127965307340364,-7.506524097525652,-11.722424258930971
4.03,16.041479303665284,-9.085703804701044,-5.383857260373109,4.22615026393209
4.04,15.95015651970639,-9.132278395889404,-5.094720673095148,-4.657459118835959
4.05,15.857249096643743,-9.290742306264624,-6.717475924157171,-15.846391037522054
4.0600000000000005,15.764482086711196,-9.276700993254694,-5.1938192737440545,1.4041313009930114
4.07,15.671300443563055,-9.318164314814075,-4.848374578791825,-4.1463321559379835
4.08,15.576671909545166,-9.462853401788896,-6.279886775459747,-14.468908697482128
4.09,15.481558345763286,-9.511356378187955,-5.868733640813515,-4.850297639905932
4.1,15.385912567530944,-9.564577823234245,-5.603813203861526,-5.322144504629021
4.11,15.290440475911902,-9.547209161904227,-4.205843426225369,1.7368661330017447
4.12,15.194021775085734,-9.641870082616798,-4.907210443831056,-9.46609207125699
4.13,15.097109260339893,-9.691251474584021,-4.736234773617749,-4.938139196722328
4.14,14.999694378174347,-9.741488216554597,-4.607243007994521,-5.023674197057491
4.15,14.901365638855776,-9.83287393185705,-5.184701975177264,-9.138571530245265
4.16,14.802615818600238,-9.874982025553772,-4.8438167849365446,-4.210809369672172
