time,position,velocity,error
5.300000000000001,"[19.620461984604237, 46.000086144247035, 9.834594047095315]","[0.3099535136268763, 3.2665696568064106, 0.1350804246160937]","[0.37953801539576304, 3.9999138557529648, 0.16540595290468474]"
5.4,"[19.649117180735008, 46.30208044011814, 9.8470822296473]","[0.2865519613077012, 3.0199429587110416, 0.12488182551985716]","[0.3508828192649922, 3.6979195598818606, 0.15291777035269938]"
5.5,"[19.675608903822276, 46.581274107344996, 9.858627551916975]","[0.2649172308726797, 2.791936672268548, 0.1154532226967433]","[0.3243910961777239, 3.4187258926550044, 0.1413724480830254]"
5.6000000000000005,"[19.70010049651387, 46.83938859644244, 9.869301200044376]","[0.2449159269159189, 2.5811448909744357, 0.10673648127400348]","[0.2998995034861309, 3.16061140355756, 0.13069879995562417]"
5.7,"[19.722742969055005, 47.07801539006896, 9.879168985601718]","[0.22642472541135206, 2.3862679362652273, 0.09867785557342046]","[0.27725703094499465, 2.9219846099310374, 0.12083101439828248]"
5.800000000000001,"[19.743675930387163, 47.29862581297411, 9.888291751374343]","[0.20932961332158584, 2.206104229051469, 0.0912276577262574]","[0.2563240696128375, 2.701374187025891, 0.11170824862565709]"
5.9,"[19.7630284489488, 47.502580104805155, 9.89672574650512]","[0.193525185616366, 2.0395429183104525, 0.08433995130778094]","[0.2369715510512016, 2.497419895194845, 0.10327425349487918]"
6.0,"[19.78091984848543, 47.69113580677533, 9.904522973315375]","[0.17891399536629393, 1.8855570197017073, 0.07797226810254543]","[0.2190801515145715, 2.3088641932246716, 0.09547702668462499]"
6.1000000000000005,"[19.797460443775897, 47.865455515506746, 9.911731507940761]","[0.16540595290468119, 1.743197087314151, 0.07208534625386243]","[0.20253955622410302, 2.1345444844932544, 0.08826849205923892]"
6.2,"[19.812752220811166, 48.026614051336644, 9.91839579675907]","[0.1529177703526976, 1.6115853582990027, 0.06664288818308073]","[0.18724777918883362, 1.9733859486633563, 0.08160420324093032]"
6.300000000000001,"[19.82688946561947, 48.17560508545401, 9.92455693043767]","[0.1413724480830254, 1.4899103411736618, 0.0616113367860045]","[0.17311053438053037, 1.8243949145459908, 0.07544306956232916]"
6.4,"[19.839959345615032, 48.3133472666734, 9.930252897290323]","[0.13069879995562061, 1.3774218121938944, 0.056959668526525675]","[0.16004065438496795, 1.6866527333266035, 0.06974710270967677]"
6.5,"[19.85204244705486, 48.44068988564024, 9.935518817505494]","[0.1208310143982807, 1.2734261896684416, 0.0526592021517196]","[0.14795755294514024, 1.5593101143597607, 0.06448118249450552]"
6.6000000000000005,"[19.863213271917424, 48.55841811138616, 9.940387159690394]","[0.11170824862565709, 1.1772822574592325, 0.04868342184899177]","[0.1367867280825763, 1.4415818886138396, 0.05961284030960634]"
6.7,"[19.87354069726691, 48.66725783252377, 9.944887941065884]","[0.1032742534948845, 1.0883972113760763, 0.04500781375490881]","[0.12645930273308892, 1.3327421674762334, 0.05511205893411564]"
6.800000000000001,"[19.883088399935374, 48.76788013293011, 9.94904891254665]","[0.09547702668462676, 1.0062230040634148, 0.04160971480764353]","[0.11691160006462553, 1.2321198670698905, 0.05095108745335075]"
6.9,"[19.8919152491413, 48.8609054295152, 9.952895729847755]","[0.08826849205923537, 0.9302529658508618, 0.038468173011056095]","[0.10808475085870128, 1.1390945704848008, 0.04710427015224461]"
7.0,"[19.90007566946539, 48.946907297588155, 9.956452111672649]","[0.08160420324092854, 0.8600186807295316, 0.03556381824892618]","[0.09992433053460914, 1.0530927024118455, 0.04354788832735146]"
7.1000000000000005,"[19.907619976421625, 49.026416007407455, 9.959739985957915]","[0.07544306956233271, 0.7950870981929796, 0.032878742852672005]","[0.09238002357837516, 0.9735839925925447, 0.04026001404208479]"
7.2,"[19.914594686692592, 49.09992179372092, 9.962779625076543]","[0.06974710270967321, 0.7350578631346423, 0.030396391186284788]","[0.08540531330740819, 0.9000782062790833, 0.0372203749234572]"
7.300000000000001,"[19.921042804942044, 49.16787787845479, 9.9655897708333]","[0.0644811824945073, 0.6795608473386991, 0.028101457567574428]","[0.0789571950579564, 0.8321221215452113, 0.034410229166699224]"
7.4,"[19.927004088973003, 49.23070326518915, 9.968187750022944]","[0.05961284030960101, 0.6282538673435951, 0.025979791896425297]","[0.07299591102699665, 0.769296734810851, 0.03181224997705634]"
7.5,"[19.932515294866416, 49.28878532264993, 9.970589581263756]","[0.055112058934117414, 0.5808205746077704, 0.024018312408127684]","[0.06748470513358384, 0.7112146773500712, 0.02941041873624428]"
7.6000000000000005,"[19.93761040361175, 49.3424821731467, 9.972810073765137]","[0.05095108745334542, 0.5369685049677315, 0.022204925013808108]","[0.06238959638825037, 0.6575178268533008, 0.027189926234862938]"
7.7,"[19.942320830626976, 49.392124900683, 9.974862918638209]","[0.04710427015224994, 0.4964272753629899, 0.020528448730718907]","[0.05767916937302431, 0.607875099316999, 0.025137081361791047]"
7.800000000000001,"[19.94667561945971, 49.43801959235381, 9.976760773312467]","[0.04354788832734613, 0.4589469167080935, 0.018978546742575375]","[0.053324380540288985, 0.561980407646189, 0.023239226687532977]"
7.9,"[19.95070162086392, 49.480449225617186, 9.978515339578943]","[0.040260014042083014, 0.42429633263375877, 0.017545662664758765]","[0.04929837913607926, 0.5195507743828145, 0.021484660421057455]"
8.0,"[19.954423658356266, 49.519675413076456, 9.980137435741106]","[0.037220374923450095, 0.39226187459269113, 0.01622096162163089]","[0.04557634164373425, 0.48032458692354396, 0.019862564258893656]"
8.1,"[19.957864681272937, 49.55594001553103, 9.981637063318347]","[0.034410229166699224, 0.36264602454573236, 0.014996275772402257]","[0.042135318727062554, 0.44405998446897144, 0.018362936681652897]"
8.200000000000001,"[19.96104590627064, 49.58946663324156, 9.98302346871334]","[0.03181224997704746, 0.33526617710525386, 0.013864053949930621]","[0.038954093729358874, 0.4105333667584432, 0.016976531286660546]"
8.3,"[19.963986948144267, 49.62046198460424, 9.984305200223508]","[0.029410418736247834, 0.3099535136268585, 0.01281731510168349]","[0.03601305185573267, 0.3795380153957595, 0.01569479977649202]"
8.4,"[19.966705940767753, 49.64911718073501, 9.985490160748107]","[0.027189926234854056, 0.2865519613077083, 0.011849605245986439]","[0.033294059232247264, 0.35088281926498865, 0.014509839251893197]"
8.5,"[19.96921964890393, 49.67560890382228, 9.986585656515917]","[0.025137081361791047, 0.26491723087267616, 0.010954957678096733]","[0.03078035109606958, 0.32439109617772033, 0.013414343484082991]"
8.6,"[19.971543571572685, 49.70010049651387, 9.987598442133983]","[0.02323922668753653, 0.24491592691591535, 0.010127856180652373]","[0.028456428427315217, 0.2998995034861309, 0.012401557866017043]"
8.700000000000001,"[19.97369203761479, 49.722742969055005, 9.988534762235165]","[0.021484660421052126, 0.22642472541136272, 0.0093632010118192]","[0.026307962385210715, 0.27725703094499465, 0.011465237764834768]"
8.8,"[19.97567829404068, 49.74367593038716, 9.989400389981293]","[0.01986256425889721, 0.20932961332158584, 0.008656277461287942]","[0.024321705959319928, 0.2563240696128375, 0.010599610018706684]"
8.9,"[19.977514587708846, 49.7630284489488, 9.990200662659326]","[0.018362936681647568, 0.193525185616366, 0.008002726780322433]","[0.02248541229115375, 0.23697155105119805, 0.00979933734067373]"
